dataset,pred_len,mse,mae,timemixerpp_mse,timemixerpp_mae,trial_id,params_json,wrapper,source_log,updated_at
ETTh1,96,0.3606412709,0.3930122554,0.3610000000,,s192_ref_ep2_bs8_repeat,"{""source_config"":""s192_ref_ep2_bs8_repeat"",""source_stage_or_trial"":""etth1_96_ctx_diag""}",winning_single/run_ETTh1_96.sh,winning_artifact_params_from_c209.csv,2026-07-31
ETTh1,192,0.4086246490,0.4251476824,0.4160000000,,P192C05,"{""source_config"":""P192C05"",""source_stage_or_trial"":""UCANP final_train""}",winning_single/run_ETTh1_192.sh,winning_artifact_params_from_c209.csv,2026-07-31
ETTh1,336,0.4292033315,0.4343447089,0.4300000000,,r84_0022_ETTh1_336,"{""source_config"":""r84_0022_ETTh1_336"",""source_stage_or_trial"":""final_etth1_336_focus_r84""}",winning_single/run_ETTh1_336.sh,winning_artifact_params_from_c209.csv,2026-07-31
ETTh1,720,0.4489980340,0.4666777849,0.4670000000,,R720_D,"{""source_config"":""R720_D"",""source_stage_or_trial"":""UCANP2 phase2""}",winning_single/run_ETTh1_720.sh,winning_artifact_params_from_c209.csv,2026-07-31
ETTh2,720,0.3917418122,0.4261505902,0.3920000000,,r68_0006_ETTh2_720,"{""source_config"":""r68_0006_ETTh2_720"",""source_stage_or_trial"":""tune_etth2_strict_r68_confirm""}",winning_single/run_ETTh2_720.sh,winning_artifact_params_from_c209.csv,2026-07-31
ETTm1,96,0.2857495546,0.3451053202,0.3100000000,,P96C05,"{""source_config"":""P96C05"",""source_stage_or_trial"":""UCANP full_compare""}",winning_single/run_ETTm1_96.sh,winning_artifact_params_from_c209.csv,2026-07-31
ETTm1,192,0.3316590190,0.3703663647,0.3480000000,,R192_G,"{""source_config"":""R192_G"",""source_stage_or_trial"":""UCANP4 phase4""}",winning_single/run_ETTm1_192.sh,winning_artifact_params_from_c209.csv,2026-07-31
ETTm1,336,0.3687710166,0.3951289356,0.3760000000,,R336_E,"{""source_config"":""R336_E"",""source_stage_or_trial"":""UCANP3 phase3""}",winning_single/run_ETTm1_336.sh,winning_artifact_params_from_c209.csv,2026-07-31
ETTm1,720,0.4219719768,0.4260575175,0.4400000000,,R720_D,"{""source_config"":""R720_D"",""source_stage_or_trial"":""UCANP3 phase3""}",winning_single/run_ETTm1_720.sh,winning_artifact_params_from_c209.csv,2026-07-31
ETTm2,96,0.1677090377,0.2583854198,0.1700000000,,R96_B,"{""source_config"":""R96_B"",""source_stage_or_trial"":""UCANP3 phase3""}",winning_single/run_ETTm2_96.sh,winning_artifact_params_from_c209.csv,2026-07-31
ETTm2,192,0.2279659212,0.2983279526,0.2290000000,,R192_C,"{""source_config"":""R192_C"",""source_stage_or_trial"":""UCANP3 phase3""}",winning_single/run_ETTm2_192.sh,winning_artifact_params_from_c209.csv,2026-07-31
ETTm2,336,0.2795296609,0.3303402662,0.3030000000,,P336C01,"{""source_config"":""P336C01"",""source_stage_or_trial"":""UCANP screening""}",winning_single/run_ETTm2_336.sh,winning_artifact_params_from_c209.csv,2026-07-31
ETTm2,720,0.3573050201,0.3883430958,0.3730000000,,R720_B,"{""source_config"":""R720_B"",""source_stage_or_trial"":""UCANP3 phase3""}",winning_single/run_ETTm2_720.sh,winning_artifact_params_from_c209.csv,2026-07-31
