dataset,pred_len,target,mse,mae,metrics_path,setting,meta__source_csv,meta_config_id,meta_trial_id,meta_stage,meta_seq_len,meta_label_len,meta_patch_len,meta_can_stride,meta_can_cli_mode,meta_can_temporal_cli_mode,meta_dropout,meta_learning_rate,meta_lr,meta_train_epochs,meta_epochs,meta_patience,meta_d_model,meta_d_ff,meta_e_layers,meta_batch_size,meta_can_use_channel_mixer,meta_lradj,meta_des,meta_max_train_steps,meta_weight_averaging,meta_ema_decay,meta_optimizer,meta_weight_decay
ETTh1,96,0.361,0.3606412708759308,0.39301225543022156,/home/c209/桌面/czw/project/TS-CAN-github/runs/timemixerpp/etth1_96_ctx_diag/results/long_term_forecast_TM16_ETTh1_96_s192_ref_ep2_bs8_repeat_CANPatchTST_ETTh1_ftM_sl192_ll48_pl96_dm128_nh8_el2_dl1_df192_expand2_dc4_fc1_ebtimeF_dtTrue_TM16_s192_ref_ep2_bs8_repeat_0/metrics.npy,long_term_forecast_TM16_ETTh1_96_s192_ref_ep2_bs8_repeat_CANPatchTST_ETTh1_ftM_sl192_ll48_pl96_dm128_nh8_el2_dl1_df192_expand2_dc4_fc1_ebtimeF_dtTrue_TM16_s192_ref_ep2_bs8_repeat_0,/home/c209/桌面/czw/project/TS-CAN-github/runs/timemixerpp/etth1_96_ctx_diag/manifest.csv,s192_ref_ep2_bs8_repeat,,,192,48,16,8,full,full,,0.0005,,2,,2,128,192,2,8,,,,,,,,
ETTh1,192,0.416,0.40862464904785156,0.42514768242836,/home/c209/桌面/czw/project/TSCAN/Time-Series-Library-main/results/long_term_forecast_UCANP_ETTh1_P192_P192C05_final_train_s512_p12_t6_ciinner_ctinner_do0p05_lr0p0002_ep24_pa6_dm128_el2_bs2_cm0_CANPatchTST_ETTh1_ftM_sl512_ll48_pl192_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_UCANP_0/metrics.npy,long_term_forecast_UCANP_ETTh1_P192_P192C05_final_train_s512_p12_t6_ciinner_ctinner_do0p05_lr0p0002_ep24_pa6_dm128_el2_bs2_cm0_CANPatchTST_ETTh1_ftM_sl512_ll48_pl192_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_UCANP_0,/home/c209/桌面/czw/project/TS-CAN-github/server_results/archive/TSCAN/unified_canpatchtst_manifest_v2.csv,P192C05,,final_train,512,,12,6,inner,inner,0.05,0.0002,,24,,6,128,,2,2,0,type3,,,,,,
ETTh1,336,0.43,0.4292033314704895,0.43434470891952515,/home/c209/??/czw/project/TS-CAN-github/runs/final_etth1_336_focus_r84_20260722_0557/results/long_term_forecast_ETTh1_336_r84_0022_ETTh1_336_CANPatchTST_ETTh1_ftM_sl336_ll48_pl336_dm128_nh8_el2_dl1_df192_expand2_dc4_fc1_ebtimeF_dtTrue_CAN_h1_336_focus_r84_0022_ETTh1_336_0/metrics.npy,long_term_forecast_ETTh1_336_r84_0022_ETTh1_336_CANPatchTST_ETTh1_ftM_sl336_ll48_pl336_dm128_nh8_el2_dl1_df192_expand2_dc4_fc1_ebtimeF_dtTrue_CAN_h1_336_focus_r84_0022_ETTh1_336_0,/home/c209/??/czw/project/TS-CAN-github/runs/final_etth1_336_focus_r84_20260722_0557/summary.csv,,r84_0022_ETTh1_336,,336,48,16,8,,,0.03,,0.0003,,5,3,128,192,2,8,,cosine,,900,none,0.995,,
ETTh1,720,0.467,0.44899803400039673,0.46667778491973877,/home/c209/桌面/czw/project/TSCAN/Time-Series-Library-main/results/long_term_forecast_UCANP2_ETTh1_P720_R720_D_CANPatchTST_ETTh1_ftM_sl208_ll48_pl720_dm160_nh8_el2_dl1_df160_expand2_dc4_fc1_ebtimeF_dtTrue_PHASE2_0/metrics.npy,long_term_forecast_UCANP2_ETTh1_P720_R720_D_CANPatchTST_ETTh1_ftM_sl208_ll48_pl720_dm160_nh8_el2_dl1_df160_expand2_dc4_fc1_ebtimeF_dtTrue_PHASE2_0,/home/c209/桌面/czw/project/TSCAN/phase2_unified_canpatchtst_manifest.csv,R720_D,,,208,,32,16,full,inner,0.1,0.00013,,44,,11,160,,2,2,0,cosine,,,,,,
ETTh2,720,0.392,0.3917418122291565,0.4261505901813507,/home/c209/??/czw/project/TS-CAN-github/runs/tune_etth2_strict_r68_confirm_20260722_042033/results/long_term_forecast_ETTh2_720_r68_0006_ETTh2_720_CANPatchTST_ETTh2_ftM_sl312_ll48_pl720_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_CAN_h2_r68_0006_ETTh2_720_0/metrics.npy,long_term_forecast_ETTh2_720_r68_0006_ETTh2_720_CANPatchTST_ETTh2_ftM_sl312_ll48_pl720_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_CAN_h2_r68_0006_ETTh2_720_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETTm1,96,0.31,0.28574955463409424,0.3451053202152252,/home/c209/桌面/czw/project/TSCAN/Time-Series-Library-main/results/long_term_forecast_UCANP_ETTm1_P96_P96C05_full_compare_s512_p12_t6_ciinner_ctinner_do0p05_lr0p0002_ep24_pa6_dm128_el2_bs2_cm0_CANPatchTST_ETTm1_ftM_sl512_ll48_pl96_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_UCANP_0/metrics.npy,long_term_forecast_UCANP_ETTm1_P96_P96C05_full_compare_s512_p12_t6_ciinner_ctinner_do0p05_lr0p0002_ep24_pa6_dm128_el2_bs2_cm0_CANPatchTST_ETTm1_ftM_sl512_ll48_pl96_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_UCANP_0,/home/c209/桌面/czw/project/TS-CAN-github/server_results/archive/TSCAN/unified_canpatchtst_manifest_v2.csv,P96C05,,full_compare,512,,12,6,inner,inner,0.05,0.0002,,24,,6,128,,2,2,0,type3,,,,,,
ETTm1,192,0.348,0.3316590189933777,0.3703663647174835,/home/c209/桌面/czw/project/TSCAN/Time-Series-Library-main/results/long_term_forecast_UCANP4_ETTm1_P192_R192_G_CANPatchTST_ETTm1_ftM_sl336_ll48_pl192_dm160_nh8_el2_dl1_df160_expand2_dc4_fc1_ebtimeF_dtTrue_PHASE4_0/metrics.npy,long_term_forecast_UCANP4_ETTm1_P192_R192_G_CANPatchTST_ETTm1_ftM_sl336_ll48_pl192_dm160_nh8_el2_dl1_df160_expand2_dc4_fc1_ebtimeF_dtTrue_PHASE4_0,/home/c209/桌面/czw/project/TS-CAN-github/server_results/archive/TSCAN/phase4_unified_canpatchtst_manifest.csv,R192_G,,,336,,12,6,inner,full,0.05,0.0002,,30,,8,160,,2,2,0,cosine,,,,,,
ETTm1,336,0.376,0.3687710165977478,0.39512893557548523,/home/c209/桌面/czw/project/TSCAN/Time-Series-Library-main/results/long_term_forecast_UCANP3_ETTm1_P336_R336_E_CANPatchTST_ETTm1_ftM_sl336_ll48_pl336_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_PHASE3_0/metrics.npy,long_term_forecast_UCANP3_ETTm1_P336_R336_E_CANPatchTST_ETTm1_ftM_sl336_ll48_pl336_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_PHASE3_0,/home/c209/桌面/czw/project/TS-CAN-github/server_results/archive/TSCAN/phase3_unified_canpatchtst_manifest.csv,R336_E,,,336,,32,16,inner,full,0.1,0.00013,,36,,9,128,,2,2,0,cosine,,,,,,
ETTm1,720,0.44,0.42197197675704956,0.42605751752853394,/home/c209/桌面/czw/project/TSCAN/Time-Series-Library-main/results/long_term_forecast_UCANP3_ETTm1_P720_R720_D_CANPatchTST_ETTm1_ftM_sl208_ll48_pl720_dm160_nh8_el2_dl1_df160_expand2_dc4_fc1_ebtimeF_dtTrue_PHASE3_0/metrics.npy,long_term_forecast_UCANP3_ETTm1_P720_R720_D_CANPatchTST_ETTm1_ftM_sl208_ll48_pl720_dm160_nh8_el2_dl1_df160_expand2_dc4_fc1_ebtimeF_dtTrue_PHASE3_0,/home/c209/桌面/czw/project/TS-CAN-github/server_results/archive/TSCAN/phase3_unified_canpatchtst_manifest.csv,R720_D,,,208,,32,16,full,inner,0.1,0.00013,,44,,11,160,,2,2,0,cosine,,,,,,
ETTm2,96,0.17,0.16770903766155243,0.25838541984558105,/home/c209/桌面/czw/project/TSCAN/Time-Series-Library-main/results/long_term_forecast_UCANP3_ETTm2_P96_R96_B_CANPatchTST_ETTm2_ftM_sl512_ll48_pl96_dm160_nh8_el2_dl1_df160_expand2_dc4_fc1_ebtimeF_dtTrue_PHASE3_0/metrics.npy,long_term_forecast_UCANP3_ETTm2_P96_R96_B_CANPatchTST_ETTm2_ftM_sl512_ll48_pl96_dm160_nh8_el2_dl1_df160_expand2_dc4_fc1_ebtimeF_dtTrue_PHASE3_0,/home/c209/桌面/czw/project/TS-CAN-github/server_results/archive/TSCAN/phase3_unified_canpatchtst_manifest.csv,R96_B,,,512,,16,8,inner,full,0.05,0.0002,,28,,7,160,,2,2,0,cosine,,,,,,
